t,theta,omega
9.98333,14.1197,0.839337
10,14.1337,0.796126
10.0167,14.147,0.838633
10.0333,14.161,0.662686
10.05,14.172,0.858426
10.0667,14.1863,0.794268
10.0833,14.1995,0.83663
10.1,14.2135,0.784068
10.1167,14.2266,0.864217
10.1333,14.241,0.755488
10.15,14.2536,0.85492
10.1667,14.2678,0.707468
10.1833,14.2796,0.803156
10.2,14.293,0.820035
10.2167,14.3066,0.797903
10.2333,14.3199,0.917088
10.25,14.3352,0.777184
10.2667,14.3482,0.834081
10.2833,14.3621,0.809878
10.3,14.3756,0.90931
10.3167,14.3907,0.768971
10.3333,14.4036,0.917036
10.35,14.4188,0.984905
10.3667,14.4353,0.815974
10.3833,14.4489,0.869424
10.4,14.4633,0.93107
10.4167,14.4789,0.82002
10.4333,14.4925,0.968546
10.45,14.5087,0.951624
10.4667,14.5245,0.804652
10.4833,14.5379,1.08021
10.5,14.5559,0.921581
10.5167,14.5713,0.867597
10.5333,14.5858,1.05693
10.55,14.6034,0.911977
10.5667,14.6186,1.0866
10.5833,14.6367,0.944821
10.6,14.6524,0.985871
10.6167,14.6689,1.07423
10.6333,14.6868,0.945614
10.65,14.7025,1.13537
10.6667,14.7215,1.02765
10.6833,14.7386,1.08573
10.7,14.7567,1.06152
10.7167,14.7744,1.16222
10.7333,14.7937,1.10708
10.75,14.8122,1.13254
10.7667,14.8311,1.15755
10.7833,14.8504,1.17511
10.8,14.8699,1.14685
10.8167,14.8891,1.16862
10.8333,14.9085,1.20299
10.85,14.9286,1.26136
10.8667,14.9496,1.27699
10.8833,14.9709,1.11419
10.9,14.9895,1.32866
10.9167,15.0116,1.3408
10.9333,15.034,1.26192
10.95,15.055,1.34018
10.9667,15.0773,1.34324
10.9833,15.0997,1.32642
11,15.1218,1.25805
11.0167,15.1428,1.46995
11.0333,15.1673,1.37254
11.05,15.1902,1.34819
11.0667,15.2126,1.47121
11.0833,15.2371,1.33003
11.1,15.2593,1.48589
11.1167,15.2841,1.47735
11.1333,15.3087,1.44569
11.15,15.3328,1.50727
11.1667,15.3579,1.60144
11.1833,15.3846,1.39955
11.2,15.4079,1.50883
11.2167,15.4331,1.60113
11.2333,15.4598,1.50289
11.25,15.4848,1.51348
11.2667,15.51,1.67194
11.2833,15.5379,1.65541
11.3,15.5655,1.5608
11.3167,15.5915,1.62062
11.3333,15.6185,1.64055
11.35,15.6459,1.63142
11.3667,15.6731,1.75966
11.3833,15.7024,1.64144
11.4,15.7297,1.64084
11.4167,15.7571,1.73575
11.4333,15.786,1.62816
11.45,15.8131,1.85059
11.4667,15.844,1.77233
11.4833,15.8735,1.66009
11.5,15.9012,1.7945
11.5167,15.9311,1.693
11.5333,15.9593,1.80345
11.55,15.9894,1.72477
11.5667,16.0181,1.8642
11.5833,16.0492,1.80347
11.6,16.0793,1.88964
11.6167,16.1107,1.77113
11.6333,16.1403,1.78418
11.65,16.17,1.94051
11.6667,16.2023,1.81946
11.6833,16.2327,1.77533
11.7,16.2623,1.89695
11.7167,16.2939,1.84434
11.7333,16.3246,1.83553
11.75,16.3552,1.91249
11.7667,16.3871,1.80394
11.7833,16.4171,2.00085
11.8,16.4505,1.82212
11.8167,16.4809,1.79372
11.8333,16.5108,1.92065
11.85,16.5428,2.01948
11.8667,16.5764,1.8782
11.8833,16.6077,1.86472
11.9,16.6388,1.86392
11.9167,16.6699,1.9644
11.9333,16.7026,1.8012
11.95,16.7326,1.92075
11.9667,16.7646,1.98847
11.9833,16.7978,1.81195
12,16.828,1.90985
12.0167,16.8598,1.91496
12.0333,16.8917,1.96969
12.05,16.9246,1.84572
12.0667,16.9553,1.87909
12.0833,16.9866,1.83679
12.1,17.0173,1.97146
12.1167,17.0501,1.81543
12.1333,17.0804,1.97132
12.15,17.1132,1.79511
12.1667,17.1431,1.87126
12.1833,17.1743,1.84965
12.2,17.2052,1.84928
12.2167,17.236,1.81283
12.2333,17.2662,1.93793
12.25,17.2985,1.74194
12.2667,17.3275,1.97078
12.2833,17.3604,1.78155
12.3,17.3901,1.74077
12.3167,17.4191,1.78771
12.3333,17.4489,1.83272
12.35,17.4794,1.83816
12.3667,17.5101,1.72204
12.3833,17.5388,1.77867
12.4,17.5684,1.72013
12.4167,17.5971,1.74667
12.4333,17.6262,1.78202
12.45,17.6559,1.6005
12.4667,17.6826,1.80976
12.4833,17.7127,1.66432
12.5,17.7405,1.73522
12.5167,17.7694,1.62834
12.5333,17.7965,1.67121
12.55,17.8244,1.69833
12.5667,17.8527,1.60645
12.5833,17.8794,1.65457
12.6,17.907,1.67941
12.6167,17.935,1.55387
12.6333,17.9609,1.53612
12.65,17.9865,1.54585
12.6667,18.0123,1.62022
12.6833,18.0393,1.56186
12.7,18.0653,1.55368
12.7167,18.0912,1.48039
12.7333,18.1159,1.47306
12.75,18.1404,1.47241
12.7667,18.165,1.49733
12.7833,18.1899,1.37456
12.8,18.2128,1.55355
12.8167,18.2387,1.27173
12.8333,18.2599,1.55066
12.85,18.2858,1.41144
12.8667,18.3093,1.31525
12.8833,18.3312,1.32823
12.9,18.3534,1.41872
12.9167,18.377,1.23789
12.9333,18.3976,1.33544
12.95,18.4199,1.32604
12.9667,18.442,1.38879
12.9833,18.4651,1.16357
13,18.4845,1.31398
13.0167,18.5064,1.16918
13.0333,18.5259,1.2782
13.05,18.5472,1.2926
13.0667,18.5688,1.11595
13.0833,18.5874,1.17587
13.1,18.607,1.28684
13.1167,18.6284,1.07265
13.1333,18.6463,1.13871
13.15,18.6653,1.07084
13.1667,18.6831,1.15227
13.1833,18.7023,1.12202
13.2,18.721,1.10238
13.2167,18.7394,1.08351
13.2333,18.7574,1.0902
13.25,18.7756,0.913824
13.2667,18.7908,1.09285
13.2833,18.8091,0.996626
13.3,18.8257,1.09515
13.3167,18.8439,0.946092
13.3333,18.8597,0.985428
13.35,18.8761,1.08138
13.3667,18.8941,0.999862
13.3833,18.9108,0.945535
13.4,18.9266,0.908214
13.4167,18.9417,0.866251
13.4333,18.9561,0.960282
13.45,18.9721,0.938214
13.4667,18.9878,0.865912
13.4833,19.0022,0.951817
13.5,19.0181,0.834574
13.5167,19.032,1.00671
13.5333,19.0488,0.77768
13.55,19.0617,0.878104
13.5667,19.0764,0.786368
13.5833,19.0895,0.874917
13.6,19.104,0.814249
13.6167,19.1176,0.911626
13.6333,19.1328,0.773599
13.65,19.1457,0.929954
13.6667,19.1612,0.783735
13.6833,19.1743,0.801865
13.7,19.1876,0.794039
13.7167,19.2009,0.752637
13.7333,19.2134,0.92997
13.75,19.2289,0.728428
13.7667,19.241,0.900907
13.7833,19.2561,0.691316
13.8,19.2676,0.850225
13.8167,19.2818,0.848487
13.8333,19.2959,0.735768
13.85,19.3082,0.881432
13.8667,19.3228,0.8314
13.8833,19.3367,0.757808
13.9,19.3493,0.712685
13.9167,19.3612,0.778967
13.9333,19.3742,0.852999
13.95,19.3884,0.795501
13.9667,19.4017,0.767217
13.9833,19.4145,0.834566
14,19.4284,0.875435
14.0167,19.443,0.767278
14.0333,19.4557,0.86637
14.05,19.4702,0.820662
14.0667,19.4839,0.89103
14.0833,19.4987,0.852399
14.1,19.5129,0.905278
14.1167,19.528,0.852585
14.1333,19.5422,0.897769
