frame,r_status,r_x,r_y,t_status,t_id,t_x,t_y,theta_deg,n_clusters,n_lit
175,estimated,771.9,754.4,lost,3,825.9,617.8,,6,1
176,estimated,775.6,753.6,detected,3,831.4,613.9,68.2,6,0
177,estimated,778.9,752.7,lost,3,835.3,608.7,,5,0
178,estimated,781.8,751.8,lost,3,839.2,603.5,,6,1
179,estimated,784.5,750.9,lost,3,843.1,598.4,,6,1
180,estimated,786.7,749.9,lost,3,847.0,593.2,,7,1
181,estimated,788.7,748.7,lost,3,850.9,588.0,,5,1
182,estimated,790.3,747.3,lost,3,854.8,582.8,,6,2
183,estimated,791.6,745.9,lost,3,858.7,577.7,,5,2
184,estimated,792.6,744.3,lost,3,862.6,572.5,,4,2
185,estimated,793.3,742.8,lost,3,866.4,567.3,,5,2
186,estimated,793.8,741.2,detected,3,848.3,596.6,69.3,6,1
187,estimated,794.1,739.7,detected,3,847.9,601.1,68.8,5,1
188,estimated,794.3,738.4,detected,3,848.3,603.6,68.2,7,1
189,estimated,794.3,737.3,detected,3,848.8,604.5,67.7,6,1
190,estimated,794.2,736.2,detected,3,849.9,601.6,67.5,5,1
191,estimated,794.1,735.2,detected,3,851.3,597.4,67.5,5,1
192,estimated,793.9,734.1,detected,3,852.2,593.2,67.5,5,1
193,estimated,793.7,732.9,detected,3,853.2,588.7,67.6,5,1
194,estimated,793.4,731.6,detected,3,854.4,583.5,67.6,6,1
195,estimated,793.1,730.1,lost,3,856.5,578.8,,6,1
196,estimated,792.7,728.5,lost,3,858.7,574.1,,5,2
197,estimated,792.4,726.6,lost,3,860.8,569.4,,6,2
198,estimated,792.1,724.5,lost,3,862.9,564.7,,6,2
199,estimated,791.7,722.1,lost,3,865.1,559.9,,5,2
200,estimated,791.4,719.6,lost,3,867.2,555.2,,5,2
201,estimated,790.9,716.8,lost,3,869.4,550.5,,5,1
202,estimated,790.5,713.9,lost,3,871.5,545.8,,4,2
203,estimated,789.9,710.9,lost,3,873.7,541.1,,5,2
204,estimated,789.3,707.9,lost,3,875.8,536.4,,4,1
205,detected,837.7,600.4,detected,13,869.2,438.9,79.0,5,0
206,detected,857.1,539.3,detected,13,868.9,438.4,83.3,4,0
207,detected,863.6,504.4,detected,13,867.2,437.3,86.9,4,0
208,detected,864.7,484.1,detected,13,866.3,436.8,88.1,5,0
209,detected,861.8,469.6,detected,13,861.8,431.4,90.0,5,0
210,detected,858.0,459.2,detected,13,858.4,427.0,89.4,4,0
211,detected,854.7,451.8,detected,13,855.1,424.0,89.2,5,0
212,detected,850.1,442.2,detected,13,850.1,414.1,90.0,5,0
213,detected,845.7,433.3,detected,13,846.8,407.1,87.6,5,0
214,detected,842.0,426.2,detected,13,842.7,402.0,88.4,4,0
215,detected,838.5,419.6,detected,13,838.1,396.1,90.9,5,0
216,estimated,836.9,416.4,detected,13,833.8,391.9,97.4,5,0
217,estimated,835.2,413.1,detected,13,830.9,388.1,99.8,4,0
218,detected,833.5,409.9,detected,13,829.9,384.4,98.0,4,0
219,detected,831.2,407.0,detected,13,828.6,382.0,95.9,5,0
220,estimated,829.5,404.0,lost,13,823.0,373.8,,4,0
221,estimated,828.1,401.2,lost,13,817.3,365.5,,4,0
222,estimated,826.9,398.6,lost,13,811.7,357.2,,4,0
223,estimated,826.0,396.3,lost,13,806.1,349.0,,5,0
224,estimated,825.3,394.3,lost,13,800.4,340.7,,4,0
225,estimated,824.9,392.5,lost,13,794.8,332.4,,4,2
226,estimated,824.6,390.8,lost,13,789.1,324.2,,4,2
227,estimated,824.6,389.3,lost,13,783.5,315.9,,5,1
228,estimated,824.6,387.8,lost,13,777.9,307.6,,4,1
229,estimated,824.8,386.3,lost,13,772.2,299.4,,5,1
230,estimated,824.9,384.8,lost,13,769.4,295.2,,3,1
231,estimated,824.5,383.1,detected,13,773.1,352.3,149.0,6,0
232,estimated,824.1,381.4,lost,13,761.1,350.0,,6,1
233,estimated,823.8,379.8,lost,13,749.1,347.7,,6,1
234,estimated,823.4,378.1,lost,13,737.1,345.4,,8,1
235,estimated,822.9,376.5,lost,13,725.1,343.1,,9,1
236,estimated,822.4,375.0,lost,13,713.1,340.8,,7,1
237,detected,787.8,402.8,lost,13,701.1,338.5,,7,2
238,detected,768.6,419.6,detected,13,741.5,352.0,111.8,9,2
239,estimated,767.9,418.4,detected,13,738.4,346.8,112.4,10,0
240,estimated,766.8,417.4,lost,13,729.9,345.3,,10,0
241,estimated,765.9,416.7,lost,13,721.4,343.8,,9,0
242,estimated,765.1,416.2,lost,13,712.9,342.2,,9,0
243,estimated,764.5,415.9,lost,13,704.4,340.7,,10,0
244,estimated,764.0,415.7,lost,13,695.9,339.2,,9,0
245,estimated,763.5,415.5,lost,13,687.4,337.7,,9,4
246,estimated,763.0,415.4,lost,13,678.9,336.1,,9,2
247,estimated,762.6,415.3,lost,13,670.4,334.6,,9,3
248,estimated,762.2,415.2,lost,13,661.9,333.1,,10,3
249,estimated,761.7,415.0,lost,13,653.4,331.6,,9,4
250,estimated,761.2,414.8,lost,13,649.2,330.8,,9,3
251,estimated,760.9,414.6,lost,13,644.9,330.0,,9,6
252,estimated,760.6,414.5,lost,13,640.7,329.3,,9,6
253,estimated,760.3,414.2,lost,13,636.4,328.5,,8,5
254,estimated,760.3,414.0,detected,19,759.8,566.9,269.8,10,5
255,estimated,760.3,413.9,detected,19,761.2,568.4,270.3,9,4
256,estimated,760.4,413.7,detected,19,761.9,571.0,270.5,7,3
257,detected,806.1,564.9,detected,19,763.3,572.5,190.1,9,4
258,detected,832.0,639.2,detected,19,764.0,573.2,135.9,9,4
259,detected,846.9,675.5,detected,19,766.4,572.4,128.0,9,5
260,detected,856.3,690.5,detected,19,764.1,571.5,127.8,8,4
261,detected,862.3,695.7,detected,19,761.4,567.6,128.2,9,4
262,detected,866.3,696.6,detected,19,760.6,566.0,129.0,9,4
263,detected,869.6,694.8,detected,19,763.5,570.8,130.5,9,3
264,detected,872.0,692.2,detected,19,760.8,567.6,131.8,9,4
265,detected,873.9,689.7,detected,19,757.6,564.4,132.8,9,3
266,detected,875.3,687.7,detected,19,755.5,562.2,133.7,10,4
267,detected,876.7,686.5,detected,19,754.4,562.1,134.5,8,4
268,estimated,878.2,685.4,lost,19,752.3,560.1,,10,4
269,estimated,879.6,684.2,lost,19,750.2,558.0,,9,2
270,estimated,880.8,683.0,detected,19,749.7,577.4,141.2,10,2
271,estimated,881.8,682.0,detected,19,737.2,587.2,146.8,9,1
272,estimated,882.5,681.2,detected,19,741.1,590.5,147.3,9,1
273,estimated,883.3,680.4,lost,19,737.3,596.5,,11,0
274,estimated,883.8,679.7,lost,19,733.4,602.5,,12,0
275,estimated,884.3,679.1,lost,19,729.5,608.5,,11,0
276,estimated,884.6,678.6,lost,19,725.7,614.5,,10,0
277,estimated,884.9,678.3,detected,19,730.0,616.6,158.3,9,0
278,estimated,885.2,678.2,detected,19,722.7,626.1,162.2,9,0
279,detected,886.0,694.8,lost,19,716.9,636.9,,9,0
280,estimated,886.4,694.6,lost,19,711.1,647.6,,7,0
281,estimated,886.9,694.3,lost,19,705.3,658.4,,7,0
282,estimated,887.7,694.1,lost,19,699.4,669.2,,7,0
283,estimated,888.8,693.8,lost,19,693.6,680.0,,6,0
284,estimated,889.8,693.5,lost,19,687.8,690.8,,8,1
285,detected,889.9,692.4,lost,19,681.9,701.6,,8,1
286,estimated,890.8,692.4,detected,19,704.8,647.8,166.5,9,0
287,estimated,891.6,692.4,detected,19,697.0,636.1,163.9,9,0
288,estimated,892.4,692.5,detected,19,683.9,626.6,162.5,10,0
289,estimated,893.2,692.5,lost,19,674.9,623.9,,7,0
290,estimated,894.0,692.6,lost,19,665.9,621.2,,6,0
291,estimated,894.7,692.7,lost,19,656.9,618.5,,6,0
292,estimated,895.4,692.9,lost,19,648.0,615.8,,7,0
