Frame 200 | R=(754.195,486.855) | targets=0
Frame 201 | R=(753.123,492.021) | targets=0
Frame 202 | R=(751.26,501.85) | targets=0
Frame 203 | R=(751.128,505.273) | targets=0
Frame 204 | R=(751.075,507.617) | targets=0
Frame 205 | R=(750.922,510.425) | targets=0
Frame 206 | R=(751.267,511.522) | targets=0
Frame 207 | R=(751.407,511.972) | targets=0
Frame 208 | R=(751.661,513.493) | targets=0
Frame 209 | R=(752.081,513.976) | targets=0
Frame 210 | R=(752.72,514.123) | targets=0
Frame 211 | R=(753.185,514.041) | targets=0
Frame 212 | R=(753.145,514.176) | targets=0
Frame 213 | R=(752.981,514.297) | targets=0
Frame 214 | R=(752.847,514.382) | targets=0
Frame 215 | R=(752.974,515.228) | targets=0
Frame 216 | R=(753.136,515.305) | targets=0
Frame 217 | R=(753.221,515.422) | targets=0
Frame 218 | R=(752.465,515.969) | targets=0
Frame 219 | R=(752.046,515.844) | targets=0
Frame 220 | R=(751.842,515.222) | targets=0
Frame 221 | R=(751.749,515.039) | targets=0
Frame 222 | R=(751.406,514.627) | targets=0
Frame 223 | R=(750.761,515.245) | targets=0
Frame 224 | R=(750.331,515.936) | targets=0
Frame 225 | R=(750.437,515.954) | targets=0
Frame 226 | R=(751.256,515.438) | targets=0
Frame 227 | R=(752.403,514.43) | targets=0
Frame 228 | R=(752.755,514.006) | targets=0
Frame 229 | R=(753.819,514.2) | targets=0
Frame 230 | R=(754.658,515.485) | targets=0
Frame 231 | R=(755.16,515.698) | targets=0
Frame 232 | R=(755.151,513.824) | targets=0
Frame 233 | R=(757.742,505.903) | targets=0
Frame 234 | R=(744.117,597.954) | targets=0
Frame 235 | R=(753.659,572.348) | targets=0
Frame 236 | R=(759.339,560.513) | targets=0
Frame 237 | R=(772.061,536.88) | targets=0
Frame 238 | R=(774.286,527.887) | targets=0
Frame 239 | R=(775.26,521.324) | targets=0
Frame 240 | R=(777.164,502.56) | targets=0
Frame 241 | R=(777.203,488.745) | targets=0
Frame 242 | R=(731.807,581.011) | targets=1 [(799.105,381) r=12.1206]
Frame 243 | R=(772.485,491.175) | targets=0
Frame 244 | R=(776.318,497.501) | targets=0
Frame 245 | R=(770.831,497.888) | targets=0
Frame 246 | R=(765.609,492.655) | targets=0
Frame 247 | R=(759.538,495.124) | targets=0
Frame 248 | R=(763.256,493.628) | targets=0
Frame 249 | R=(763.909,495.908) | targets=0
Frame 250 | R=(759.152,501.82) | targets=0
Frame 251 | R=(761.04,505.423) | targets=0
Frame 252 | R=(762.75,520.738) | targets=0
Frame 253 | R=(765.479,530.714) | targets=0
Frame 254 | R=(775.765,546.223) | targets=0
Frame 255 | R=(780.401,556.786) | targets=0
Frame 256 | R=(783.146,577.255) | targets=0
Frame 257 | R=(786.566,583.134) | targets=0
Frame 258 | R=(790.058,587.383) | targets=0
Frame 259 | R=(794.385,599.199) | targets=0
Frame 260 | R=(796.142,605.418) | targets=0
Frame 261 | R=(797.696,603.796) | targets=0
Frame 262 | R=(797.959,603.306) | targets=0
Frame 263 | R=(798.712,602.854) | targets=0
Frame 264 | R=(799.731,601.675) | targets=0
Frame 265 | R=(800.678,593.014) | targets=0
Frame 266 | R=(800.276,587.655) | targets=0
Frame 267 | R=(800.04,581.932) | targets=0
Frame 268 | R=(800.292,579.324) | targets=0
Frame 269 | R=(800.135,576.913) | targets=0
Frame 270 | R=(798.992,573.858) | targets=0
Frame 271 | R=(799.094,571.674) | targets=0
Frame 272 | R=(798.06,571.586) | targets=0
Frame 273 | R=(799.969,568.061) | targets=0
Frame 274 | R=(800.705,567.329) | targets=0
Frame 275 | R=(800.039,567.439) | targets=0
Frame 276 | R=(798.812,551.886) | targets=0
Frame 277 | R=(798.291,546.91) | targets=0
Frame 278 | R=(791.73,556.018) | targets=0
Frame 279 | R=(792.715,559.636) | targets=0
Frame 280 | R=(793.501,563.623) | targets=0
Frame 281 | R=(788.047,574.913) | targets=0
Frame 282 | R=(784.576,571.31) | targets=0
Frame 283 | R=(786.665,562.102) | targets=0
Frame 284 | R=(785.827,564.054) | targets=0
Frame 285 | R=(789.839,571.897) | targets=0
Frame 286 | R=(790.947,577.725) | targets=0
Frame 287 | R=(790.138,587.702) | targets=0
Frame 288 | R=(789.796,590.337) | targets=0
Frame 289 | R=(790.337,581.297) | targets=0
Frame 290 | R=(790.679,550.691) | targets=0
Frame 291 | R=(784.468,550.767) | targets=0
Frame 292 | R=(781.48,556.59) | targets=0
Frame 293 | R=(789.372,563.122) | targets=0
Frame 294 | R=(788.618,570.873) | targets=0
Frame 295 | R=(784.664,593.044) | targets=0
Frame 296 | R=(792.59,603.975) | targets=0
Frame 297 | R=(795.134,607.788) | targets=0
Frame 298 | R=(796.422,613.4) | targets=0
Frame 299 | R=(794.847,626.917) | targets=0
Frame 300 | R=(792.844,618.988) | targets=0
Frame 301 | R=(789.839,602.053) | targets=0
Frame 302 | R=(788.549,603.025) | targets=0
Frame 303 | R=(794.531,602.515) | targets=0
Frame 304 | R=(797.567,602.444) | targets=0
Frame 305 | R=(794.888,605.591) | targets=0
Frame 306 | R=(794.57,610.787) | targets=0
Frame 307 | R=(797.313,611.596) | targets=0
Frame 308 | R=(797.863,611.048) | targets=0
Frame 309 | R=(798.565,615.643) | targets=0
Frame 310 | R=(798.973,619.2) | targets=0
Frame 311 | R=(799.545,620.66) | targets=0
Frame 312 | R=(798.053,622.849) | targets=0
Frame 313 | R=(798.29,624.343) | targets=0
Frame 314 | R=(791.554,611.849) | targets=0
Frame 315 | R=(786.849,604.963) | targets=0
Frame 316 | R=(780.023,605.891) | targets=0
Frame 317 | R=(781.432,606.331) | targets=0
Frame 318 | R=(783.896,609.051) | targets=0
Frame 319 | R=(784.557,619.18) | targets=0
Frame 320 | R=(788.563,625.059) | targets=0
Frame 321 | R=(790.035,627.515) | targets=0
Frame 322 | R=(793.576,628.901) | targets=0
Frame 323 | R=(798.318,635.241) | targets=0
Frame 324 | R=(799.89,639.352) | targets=0
Frame 325 | R=(800.726,643.893) | targets=0
Frame 326 | R=(800.87,644.54) | targets=0
Frame 327 | R=(801.614,646.083) | targets=0
Frame 328 | R=(801.829,649.712) | targets=0
Frame 329 | R=(801.17,649.844) | targets=0
Frame 330 | R=(799.382,649.512) | targets=0
Frame 331 | R=(797.886,649.331) | targets=0
Frame 332 | R=(797.614,648.946) | targets=0
Frame 333 | R=(797.484,648.823) | targets=0
Frame 334 | R=(798.845,647.55) | targets=0
Frame 335 | R=(799.314,647.794) | targets=0
Frame 336 | R=(799.881,648.101) | targets=0
Frame 337 | R=(801.2,646.798) | targets=0
Frame 338 | R=(801.047,646.306) | targets=0
Frame 339 | R=(798.575,648.368) | targets=0
Frame 340 | R=(798.467,648.978) | targets=0
Frame 341 | R=(796.561,651.32) | targets=0
Frame 342 | R=(795.152,652.929) | targets=0
Frame 343 | R=(794.761,654.787) | targets=0
Frame 344 | R=(793.81,656.029) | targets=0
Frame 345 | R=(792.504,658.667) | targets=0
Frame 346 | R=(793.192,659.673) | targets=0
Frame 347 | R=(793.085,661.072) | targets=0
Frame 348 | R=(792.371,663.401) | targets=0
Frame 349 | R=(791.843,663.951) | targets=0
Frame 350 | R=(790.312,665.294) | targets=0
Frame 351 | R=(788.595,665.768) | targets=0
Frame 352 | R=(787.422,666.501) | targets=0
Frame 353 | R=(787.312,670.466) | targets=0
Frame 354 | R=(787.269,672.944) | targets=0
Frame 355 | R=(788.589,675.164) | targets=0
Frame 356 | R=(787.648,676.087) | targets=0
Frame 357 | R=(786.585,676.364) | targets=0
Frame 358 | R=(786.503,675.482) | targets=0
Frame 359 | R=(686.196,684.43) | targets=1 [(873.5,637) r=12.4198]
Frame 360 | R=(784.871,673.946) | targets=0
Frame 361 | R=(784.555,674.259) | targets=0
Frame 362 | R=(684.664,681.522) | targets=1 [(871.5,639) r=12.4198]
Frame 363 | R=(683.124,681.248) | targets=1 [(871.5,639.5) r=12.1038]
Frame 364 | R=(783.609,674.615) | targets=0
Frame 365 | R=(682.299,681.339) | targets=1 [(870.243,642.757) r=12.3846]
Frame 366 | R=(682.372,682.555) | targets=1 [(869.5,645) r=12.4198]
Frame 367 | R=(680.858,684.212) | targets=1 [(867.921,648.5) r=12.437]
Frame 368 | R=(678.763,683.94) | targets=1 [(867,650.5) r=12.3795]
Frame 369 | R=(781.396,679.822) | targets=0
Frame 370 | R=(781.711,680.275) | targets=0
Frame 371 | R=(680.64,683.008) | targets=1 [(867.5,654.5) r=12.7476]
Frame 372 | R=(680.007,683.015) | targets=1 [(868.444,656.5) r=12.0603]
Frame 373 | R=(678.58,683.801) | targets=1 [(867.5,659.5) r=12.1038]
Frame 374 | R=(678.353,688.755) | targets=1 [(867.079,660.5) r=12.4371]
Frame 375 | R=(678.172,689.155) | targets=1 [(867,662) r=12.0417]
Frame 376 | R=(676.589,688.466) | targets=1 [(865.5,663.5) r=12.1038]
Frame 377 | R=(676.162,688.516) | targets=1 [(865.5,663.5) r=12.1038]
Frame 378 | R=(678.827,681.955) | targets=1 [(865.5,664.5) r=12.7476]
Frame 379 | R=(679.043,680.321) | targets=1 [(866,667.5) r=12.5001]
Frame 380 | R=(678.363,688.096) | targets=1 [(867.059,669.941) r=12.1247]
Frame 381 | R=(677.815,688.318) | targets=1 [(866.529,671.471) r=12.0625]
Frame 382 | R=(679.833,684.801) | targets=1 [(866.529,673.471) r=12.0625]
Frame 383 | R=(678.184,691.148) | targets=1 [(867.105,676) r=12.1206]
Frame 384 | R=(678.312,691.393) | targets=1 [(867.5,677.5) r=12.1038]
Frame 385 | R=(679.068,689.726) | targets=1 [(867.105,679) r=12.1206]
Frame 386 | R=(682.236,686.478) | targets=1 [(867.5,683) r=12.4198]
Frame 387 | R=(680.719,691.269) | targets=1 [(867.5,685) r=12.4198]
Frame 388 | R=(680.945,693.519) | targets=1 [(867.5,687) r=12.4198]
Frame 389 | R=(683.371,688.324) | targets=1 [(867.5,688.5) r=12.7476]
Frame 390 | R=(682.141,693.588) | targets=1 [(868.297,690.425) r=12.2177]
Frame 391 | R=(685.136,686.506) | targets=1 [(869.5,691.5) r=12.1038]
Frame 392 | R=(686.853,684.48) | targets=1 [(869.5,691.5) r=12.1038]
Frame 393 | R=(678.864,682.231) | targets=1 [(869.5,693) r=12.4198]
Frame 394 | R=(684.75,689.454) | targets=1 [(869.9,693.9) r=12.1829]
Frame 395 | R=(685.078,683.245) | targets=1 [(867.5,694.5) r=12.7476]
Frame 396 | R=(683.971,682.471) | targets=1 [(867.5,696) r=12.4198]
Frame 397 | R=(675.537,684.758) | targets=1 [(866.556,696.5) r=12.0603]
Frame 398 | R=(681.958,680.264) | targets=1 [(863.5,697) r=12.4198]
Frame 399 | R=(678.613,685.524) | targets=1 [(862.735,698.265) r=12.0255]
Frame 400 | R=(673.664,673.875) | targets=1 [(861,698.5) r=12.3795]
Frame 401 | R=(668.936,686.8) | targets=1 [(857.9,703.9) r=12.1829]
Frame 402 | R=(668.264,681.47) | targets=1 [(855.663,707.519) r=12.2208]
Frame 403 | R=(674.755,684.195) | targets=1 [(853.89,709.994) r=12.1202]
Frame 404 | R=(669.916,688.765) | targets=1 [(851.5,711) r=12.4198]
Frame 405 | R=(674.169,681.447) | targets=1 [(851.5,711.5) r=12.1038]
Frame 406 | R=(674.273,679.959) | targets=1 [(850.5,710.5) r=12.0209]
Frame 407 | R=(666.481,674.121) | targets=1 [(849.5,710.5) r=12.7476]
Frame 408 | R=(673.048,677.718) | targets=1 [(848.711,710.5) r=12.1707]
Frame 409 | R=(674.313,675.453) | targets=1 [(848.531,711) r=11.6955]
Frame 410 | R=(663.696,677.811) | targets=1 [(847.5,713.5) r=12.1038]
Frame 411 | R=(664.042,675.659) | targets=1 [(846.028,714.529) r=12.3796]
Frame 412 | R=(648.63,679.562) | targets=1 [(845.5,719.5) r=12.1038]
Frame 413 | R=(668.609,687.984) | targets=1 [(843.5,723) r=12.4198]
Frame 414 | R=(663.646,676.616) | targets=1 [(841.5,724.5) r=12.7476]
Frame 415 | R=(659.349,684.531) | targets=1 [(841.132,725.5) r=11.8168]
Frame 416 | R=(659.581,682.298) | targets=1 [(839.5,725) r=12.4198]
Frame 417 | R=(659.72,679.646) | targets=1 [(838.735,724.265) r=12.0255]
Frame 418 | R=(660.001,677.859) | targets=1 [(838.5,723) r=12.3795]
Frame 419 | R=(659.792,675.093) | targets=1 [(837.5,723.5) r=12.1038]
Frame 420 | R=(659.446,676.003) | targets=1 [(835.5,726) r=12.4198]
Frame 421 | R=(662.841,667.731) | targets=1 [(835.5,728) r=12.4198]
Frame 422 | R=(660.951,670.39) | targets=1 [(832.472,733) r=12.3986]
Frame 423 | R=(659.371,669.493) | targets=1 [(830.243,732.757) r=12.3846]
Frame 424 | R=(657.69,667.868) | targets=1 [(827.5,733) r=12.4198]
Frame 425 | R=(655.472,665.416) | targets=1 [(824.5,732.5) r=12.1038]
Frame 426 | R=(651.93,673.098) | targets=1 [(823.5,732) r=12.4198]
Frame 427 | R=(651.796,671.1) | targets=1 [(822.735,732.265) r=12.0255]
Frame 428 | R=(655.731,662.539) | targets=1 [(822.289,732.5) r=12.1707]
Frame 429 | R=(651.943,668.055) | targets=1 [(820.5,732.5) r=12.1038]
Frame 430 | R=(652.656,667.594) | targets=1 [(819.5,733) r=12.4198]
Frame 431 | R=(656.95,657.882) | targets=1 [(819.921,734.5) r=12.437]
Frame 432 | R=(656.116,660.545) | targets=1 [(818.5,735.5) r=12.1038]
Frame 433 | R=(655.336,655.61) | targets=1 [(815.5,735) r=12.4198]
